rank	clade	n_tips	crown_node	crown_age_Ma	crown_q1	crown_pp1	crown_gCF	crown_sCF	stem_node	stem_age_Ma	stem_q1	stem_pp1	stem_gCF	stem_sCF
FAMILY	Brassicaceae	2934	3104	37.96482	0.938765	1	64	61.9	3103	56.31602	0.782295	1	43.3	42.5
SUPERTRIBE	Arabodae (IV)	670	3106	26.80415	0.463397	1	4.09	36.5	3105	28.55401	0.779977	1	36.5	53.2
SUPERTRIBE	Brassicodae (II)	595	3379	24.9723	0.461563	1	0.102	37.5	3108	26.78415	0.934275	1	86.2	79.9
SUPERTRIBE	Camelinodae (I)	1081	3977	19.4838	0.654239	1	1.94	46	3976	21.50649	0.53461	1	1.46	40.4
SUPERTRIBE	Heliophilodae (V)	273	3105	28.55401	0.779977	1	36.5	53.2	3104	37.96482	0.938765	1	64	61.9
SUPERTRIBE	Hesperodae (III)	255	5732	20.39087	0.936458	1	33.9	59.1	3105	28.55401	0.779977	1	36.5	53.2
SUPERTRIBE	unplaced	9	3107	26.79415	0.688802	1	42.3	49	3106	26.80415	0.463397	1	4.09	36.5
TRIBE	Aethionemeae	51	5987	17.09052	0.981142	1	70.2	75.2	3104	37.96482	0.938765	1	64	61.9
TRIBE	Alysseae	209	5074	17.83249	0.707697	1	36.8	61.8	5073	17.84249	0.582913	1	21	55.3
TRIBE	Alyssopsideae	4	4186	6.0940557	0.774227	1	60.7	69	4185	10.2213857	0.383232	0.972588	15.8	32
TRIBE	Anastaticeae	69	3105	28.55401	0.779977	1	36.5	53.2	3104	37.96482	0.938765	1	64	61.9
TRIBE	Anchonieae	63	5864	11.260745	0.829217	1	41.5	62.3	5863	16.042715	0.661619	1	26.6	45.9
TRIBE	Aphragmeae	1	868	2.00E-04	NA	NA	NA	NA	3379	24.9723	0.461563	1	0.102	37.5
TRIBE	Arabideae	451	5282	16.82747	0.818221	1	24	52.3	5071	24.1377	0.490769	1	14.6	45.5
TRIBE	Arabidopsideae	3	4313	9.0233617	0.919084	1	77.7	68.7	3981	17.4535817	0.426345	0.999935	1.43	36.9
TRIBE	Asperuginoideae	1	2176	2.00E-04	NA	NA	NA	NA	5072	21.3426	0.5588	1	8.93	37.2
TRIBE	Asteae	2	3276	19.491715	0.568441	1	15	48.4	3275	22.049785	0.392828	0.971524	1.27	32.4
TRIBE	Biscutelleae	8	3107	26.79415	0.688802	1	42.3	49	3106	26.80415	0.463397	1	4.09	36.5
TRIBE	Boechereae	127	3989	4.9558257	0.731507	1	19.8	52.6	3988	6.2636757	0.629997	1	21.6	54.4
TRIBE	Brassiceae	248	3578	15.975147	0.388805	0.953439	0.995	25.9	3387	15.985147	0.31178	0.002785	0.574	28.3
TRIBE	Buniadeae	1	2821	1.15E-04	NA	NA	NA	NA	5863	16.042715	0.661619	1	26.6	45.9
TRIBE	Calepineae	3	3867	9.913956	0.913328	1	77.2	75.4	3383	20.513656	0.526337	1	2.32	38.6
TRIBE	Camelineae	4	4123	6.8433657	0.813676	1	58.1	60.3	3986	9.9767357	0.489023	1	1.24	42.6
TRIBE	Cardamineae	235	4827	7.9353	0.933851	1	33.9	73.7	3977	19.4838	0.654239	1	1.94	46
TRIBE	Chamireae	1	99	2.10E-04	NA	NA	NA	NA	3112	24.91691	0.385572	0.995603	6.24	36
TRIBE	Chorisporeae	57	5929	9.04592	0.534275	1	28.9	56.1	5928	11.28311	0.798063	1	61.2	60.3
TRIBE	Cochlearieae	2	3974	14.596266	0.368754	0.947328	0.475	35	3380	24.412556	0.390496	0.955881	0.452	38.7
TRIBE	Coluteocarpeae	102	3871	14.034503	0.49974	1	14.2	38.6	3870	14.044503	0.684544	1	26.1	44
TRIBE	Conringieae	1	862	1.26E-04	NA	NA	NA	NA	3869	14.764926	0.911642	1	45.4	66.3
TRIBE	Cremolobeae	19	3240	16.754806	0.495549	1	6.14	34.7	3239	16.764806	0.360208	0.732934	1.15	35.3
TRIBE	Crucihimalayeae	3	4119	6.1976457	0.80818	1	44.4	61	3987	8.1131757	0.60746	1	3.36	60.8
TRIBE	Descurainieae	44	4544	16.3914417	0.747333	1	19.4	45.3	4542	17.8027517	0.351648	0.454137	7.28	48.3
TRIBE	Dontostemoneae	3	5985	8.4429	0.869259	1	70.7	67.8	5927	15.97416	0.793315	1	47	54.2
TRIBE	Erysimeae	227	4316	5.9277117	0.831867	1	37.7	74	4315	10.3852817	0.919775	1	47.5	71.8
TRIBE	Euclidieae	129	5735	16.675865	0.370823	0.883003	21.4	36.7	5734	18.562195	0.472988	1	9.12	37.8
TRIBE	Eudemeae	26	3214	13.868676	0.733004	1	30.1	55.8	3213	18.688286	0.900233	1	69	90.8
TRIBE	Eutremeae	1	718	1.04E-04	NA	NA	NA	NA	3830	17.423304	0.538334	1	18	41.3
TRIBE	Fourraeeae	2	3577	6.023367	0.823031	1	12.6	71.5	3388	14.982987	0.62066	1	2.5	62
TRIBE	Halimolobeae	5	4115	4.6143257	0.782177	1	33.4	61.3	3988	6.2636757	0.629997	1	21.6	54.4
TRIBE	Heliophileae	98	3113	17.01802	0.937917	1	88.1	91.6	3112	24.91691	0.385572	0.995603	6.24	36
TRIBE	Hemilophieae	2	4127	7.3064357	0.426078	0.999998	1.03	34.7	4126	9.4212157	0.435692	0.989374	4.25	56.7
TRIBE	Hesperideae	1	2822	1.20E-04	NA	NA	NA	NA	5733	18.87462	0.476393	1	10.1	39.1
TRIBE	Hillielleae	1	2175	1.90E-04	NA	NA	NA	NA	5073	17.84249	0.582913	1	21	55.3
TRIBE	Iberideae	25	3354	11.967047	0.947002	1	62.3	82.2	3286	26.179147	0.434542	0.999961	20.1	40.9
TRIBE	Iberideae_II	3	3278	13.402496	0.941507	1	89.1	80.2	3277	25.557696	0.615284	1	21.7	51.8
TRIBE	Isatideae	6	3825	8.516649	0.952397	1	78.5	76.2	3386	16.187349	0.525672	1	4.72	42.4
TRIBE	Kernereae	3	3972	9.108196	0.92754	1	76.7	79.6	3381	22.603796	0.459746	1	0.392	38.8
TRIBE	Lepidieae	240	4588	11.4179817	0.680146	1	24.3	48.2	4587	11.4279817	0.87538	1	30.8	58.4
TRIBE	Malcolmieae	1	1204	1.82E-04	NA	NA	NA	NA	4315	10.3852817	0.919775	1	47.5	71.8
TRIBE	Megacarpaeeae	2	3378	17.124987	0.432598	1	0	35	3285	26.189147	0.387658	0.995525	2.17	33.7
TRIBE	Microlepidieae	56	3984	11.5558917	0.473699	1	1.13	48.9	3983	14.3779517	0.489544	1	0.856	49
TRIBE	Notothlaspideae	1	100	2.10E-04	NA	NA	NA	NA	3111	24.92691	0.513564	1	5.11	39
TRIBE	Oreophytoneae	2	4189	1.6981617	0.941707	1	86.5	88.4	4182	12.0190617	0.604278	1	13.4	44.8
TRIBE	Physarieae	124	4190	16.0585017	0.930467	1	84.5	80.2	3982	17.1414817	0.395042	0.998576	1.24	35.6
TRIBE	Plagiolobeae	1	861	2.03E-04	NA	NA	NA	NA	3870	14.044503	0.684544	1	26.1	44
TRIBE	Schizopetaleae	16	3258	13.543696	0.377429	0.896891	11.1	29.9	3239	16.764806	0.360208	0.732934	1.15	35.3
TRIBE	Schrenkielleae	1	717	1.84E-04	NA	NA	NA	NA	3385	17.054384	0.810682	1	12.5	50.1
TRIBE	Shehbazieae	1	2823	1.10E-04	NA	NA	NA	NA	5928	11.28311	0.798063	1	61.2	60.3
TRIBE	Sisymbrieae	5	3573	8.788377	0.837835	1	35.8	50.9	3390	10.723907	0.434394	0.999988	0.414	41
TRIBE	Smelowskieae	1	1433	1.32E-04	NA	NA	NA	NA	4543	12.3986317	0.498198	1	1.79	42.3
TRIBE	Stevenieae	9	5061	13.07817	0.873783	1	81.3	84.9	3976	21.50649	0.53461	1	1.46	40.4
TRIBE	Subularieae	2	3210	25.567696	0.368848	0.835647	2.52	30.8	3110	26.39126	0.970209	1	91.6	85.9
TRIBE	Thelypodieae	184	3389	11.885717	0.357796	0.289647	0.517	41.8	3388	14.982987	0.62066	1	2.5	62
TRIBE	Thlaspideae	37	3831	13.950084	0.925576	1	57.1	69.7	3830	17.423304	0.538334	1	18	41.3
TRIBE	Turritideae	1	1068	2.02E-04	NA	NA	NA	NA	4183	10.6812017	0.455011	1	11.7	37.6
TRIBE	Unplaced	8	3107	26.79415	0.688802	1	42.3	49	3106	26.80415	0.463397	1	4.09	36.5
TRIBE	Yinshanieae	1	1432	1.32E-04	NA	NA	NA	NA	4543	12.3986317	0.498198	1	1.79	42.3
