rank,clade,node,n_focal_tips,n_total_tips,fraction,focal_samples,component_id,plot_label,plot_this
TRIBE,Aethionemeae,5987,51,51,1,S1299; S0890; S0351; S0348; S1297; S0352; S1947; S2002; S1142; S1100; S1154; S0874; S0847; S0777; SRR4417667; S1237; S1226; S0350; S1184; S1944; S1284; S1136; S1261; S1345; S0735; S1670; S3498; S1155; S1349; S1132; S1137; S1148; S1141; S1292; S1145; S1138; S1180; S1223; S1302; S3556; S3552; S1179; S1231; S0818; S1300; S0863; SRR4417656; S0349; S1945; S0401; S3554,1,Aethionemeae,TRUE
TRIBE,Alysseae,5074,209,209,1,S1111; S1707; S0355; S0724; S2046; S0322; S1249; S0430; S1269; S1409; S1266; S0968; S1671; S2401; S0288; S0303; S0748; S0620; S2766; S0952; S1084; S3193; S0308; S0309; S0328; S1151; S4266; S2775; S2826; S2056; S0379; S1519; S0324; S0967; S0841; S0556; S1030; S0354; S4370; S1346; S0813; S0631; S1343; S1344; S1262; S2560; S0523; S1175; S1178; S0637; S1295; S1348; S1514; S0632; S4221; S0639; S2468; S4217; S1146; S1147; S0638; S4143; S3391; S3670; S1156; S4173; S3787; S1150; S1135; S3913; S1604; S3910; S3907; S1597; S3499; S1593; S1596; S0634; S0635; RB668; S3765; S3783; S1152; S1172; S4146; S4057; S1910; S1904; S1917; S1919; S1909; S1914; S1913; S1912; S1908; S1903; S3394; S0740; S1915; S1112; S0855; S1347; S1920; S1120; S1296; S1921; S1907; S1905; S4219; S4235; S4237; S0940; S1594; RB682; S0888; S2185; S3779; S2191; S2177; S1315; S2791; S1801; S1800; S4365; S3277; S1110; S0828; S1210; S3844; S2181; S1989; S1304; S0848; S1303; S1131; S1143; S1285; S0529; S1229; S0844; S1130; S1293; S0944; S0987; S1324; S0527; S1153; S2343; S1542; S1367; S0866; S0533; S2374; S1174; S0531; S1144; S0845; S0943; S1260; S1259; S3474; S1867; S2680; S2586; S1545; S0739; S0839; S0969; S0865; S2375; S3617; S1333; S1176; S1169; S0885; S1255; S1363; S0633; S1140; S1353; S0942; S1294; S1360; S1359; S1133; S1134; S1601; S1547; S1236; S1351; S4149; S1357; S0945; S1350; S1361; S2831; S0846; S0811; S0732; S3196; S2709; S4363; S2783; S2267; S4372; S0616; S3293; S2379; S3880,1,Alysseae,TRUE
TRIBE,Alyssopsideae,4186,4,4,1,S0316; S1460; S1235; S0809,1,Alyssopsideae,TRUE
TRIBE,Anastaticeae,3287,68,68,1,S1316; S0691; S0359; S0360; S1551; S0453; S1173; S1013; S0451; S1025; S0391; S0442; S1496; S1549; S0438; S0361; S0462; S1101; S0538; S0443; S4164; S0392; S4171; S1078; S1553; S0358; S0791; S1641; S1060; S0343; S0336; S0340; S0338; S0339; S0655; S3014; S0838; S1114; S0342; S0450; S0344; S0540; S0708; S0707; S0436; S0706; S0642; S3065; S0555; S2156; S4147; S0710; S0709; S0600; S0713; S3407; S3410; S1959; S1428; S1665; S4038; S4090; S0403; S1640; S3760; S1182; S0654; S0156,1,Anastaticeae,TRUE
TRIBE,Anchonieae,5864,63,64,0.984375,S0603; S2919; SRR8528354; S3022; S3032; S0404; S3003; S3132; S3345; S2913; S2496; S2929; S2945; S2175; S4280; S1216; S0656; SRR8528358; S3943; S2933; S3983; S2492; S3588; S3543; S2916; S2941; S3560; S2824; S3149; S2720; S2633; S3999; S3541; S2681; S2672; S2611; S3545; S3120; S3579; S4352; S3941; S2635; S3584; S3128; S3586; S2594; S1250; S2643; S3602; S0827; S1234; S0899; S2135; S0889; S1884; S0657; S3612; S0898; S2818; S2125; S2552; S2599; S2583,1,Anchonieae,TRUE
TRIBE,Arabideae,5282,451,451,1,SRR8528384; S0901; HEID8002960; HEID505242; S0658; S4236; S2386; HEID8010154; HEID8010169; HEID8010149; S3692; HEID501437; HEID8003292; HEID504568; HEID504118; S3732; HEID8010151; S3562; HEID8010198; HEID712283; HEID8010336; HEID8010129; HEID8010189; HEID8010136; HEID505429; HEID8010146; HEID410287; S0568; HEID8010131; HEID8010183; HEID8003308; HEID502832; HEID8008213; HEID8010170; HEID8010138; HEID8003289; S4035; HEID8010342; S3267; HEID8010244; HEID8009947; HEID500025; HEID8010399; HEID8010158; HEID8009942; S3784; S3769; HEID8010820; S3205; HEID8003258; S0927; S0974; HEID8010324; S0536; S1192; HEID8010258; HEID8010045; HEID8010080; HEID8003146; HEID8010272; S0535; HEID8003172; HEID8003143; HEID8010259; HEID8003137; HEID8010325; HEID8003126; HEID8003177; HEID8003181; HEID503129; HEID8010021; HEID8003184; S1055; S1455; HEID8003150; HEID8010033; HEID8010050; HEID8003105; HEID8003102; HEID8010335; HEID8010251; HEID784061; HEID8010137; HEID8010301; HEID8010046; S3726; HEID8009999; HEID8003115; HEID8010254; HEID8010077; HEID8003133; HEID8003157; S0975; HEID8003299; S0931; S1121; S1057; S1191; HEID8003188; HEID8010246; S1056; HEID8010302; S0455; HEID8010398; S3985; HEID8010135; HEID8010294; HEID8008606; HEID8010303; HEID8010241; HEID8010243; HEID8010284; HEID8003120; HEID8003261; HEID8003262; HEID8010056; HEID8003171; HEID8008598; HEID8010128; HEID8010263; HEID8010273; HEID8010247; HEID8010287; HEID8010295; HEID8010823; HEID8010347; HEID8010262; HEID8008599; HEID8010826; HEID8010279; HEID8003482; HEID8010238; HEID8008546; HEID8010293; HEID8003265; HEID8003122; HEID8010240; HEID8010267; HEID8010286; HEID8003427; HEID8010059; HEID8010275; HEID8009974; S2669; HEID8010400; HEID8009967; S2703; S2613; S2687; HEID8009955; HEID8009968; HEID8009938; HEID8009950; HEID500028; HEID8009962; HEID8008121; HEID8010217; HEID8010225; HEID8009954; HEID8003429; HEID8009964; HEID8010239; HEID8010824; HEID8010257; HEID8009987; HEID8010190; HEID8009940; HEID8009990; HEID8009984; HEID8008261; HEID8009963; HEID8010283; HEID8010291; S3872; HEID8010165; HEID8003104; HEID8010288; HEID8003334; HEID8010266; HEID8010290; HEID8010297; HEID8010299; HEID8007999; HEID8010256; HEID8010248; S4307; HEID8003394; HEID8010044; HEID8009978; HEID8008561; HEID8010268; HEID8010819; HEID8010397; HEID8009973; HEID8010405; HEID8008332; HEID8009986; HEID700481; HEID504398; HEID8010296; HEID8009965; S2581; S3696; HEID8009976; HEID8008116; HEID502794; HEID8009979; HEID8010067; HEID8010300; S2632; S3710; HEID8009980; HEID8010298; S2616; S1199; HEID8007748; HEID8010812; HEID8010815; S2690; S0902; S2638; HEID500003; HEID8003249; HEID500619; S2595; S2649; HEID8008113; S2636; S4321; HEID8009961; S2664; S4309; HEID8008073; HEID8008035; S4304; SRR12465161; HEID8008102; HEID8008110; HEID8010176; HEID8008053; S4220; S4311; HEID8003485; HEID8003474; HEID8010822; HEID8009951; HEID8010274; HEID8009981; HEID500027; HEID8009943; HEID8010406; HEID8009960; HEID8010277; HEID8009993; HEID8008107; S2677; HEID8010141; HEID8007889; HEID408979; HEID401915; S0553; HEID8010147; HEID8010192; HEID8003410; S4302; S4163; S4160; HEID8008532; HEID8010285; HEID8010811; HEID8003408; HEID8010280; HEID8010188; S3518; HEID8009989; HEID8010177; HEID8010187; HEID8008112; S2693; HEID8010229; HEID8010818; HEID502863; HEID404442; HEID8010806; HEID504407; HEID504408; HEID8010140; S1868; HEID9200281; HEID504567; HEID502828; HEID8008106; HEID8010130; S4306; HEID8003207; HEID504403; HEID8010175; HEID504420; S2601; S2608; S2673; HEID8010276; HEID8010265; HEID8010289; HEID8009953; HEID8009971; HEID8009975; HEID8007803; HEID8003372; HEID8010821; HEID8010264; HEID8010237; HEID8010072; HEID8010260; HEID8008306; HEID8008752; HEID8010813; S2658; HEID8003271; HEID502831; HEID8003431; HEID8010166; HEID8003343; HEID8010171; S4294; HEID410424; HEID8003279; HEID8010134; S3131; S0836; HEID8010305; HEID8010066; HEID8010304; HEID501419; S0834; HEID8003238; S0279; HEID8010234; HEID8010110; HEID8009274; HEID8000822; S2462; HEID504668; HEID504984; S3525; S0281; S3040; HEID505118; HEID505117; HEID504881; HEID8010402; HEID402743; S3864; HEID8010817; S3500; HEID8010338; HEID504987; HEID501441; SRR17276276; HEID8010203; HEID8010827; HEID8000142; HEID8006711; S1083; S1498; HEID504745; HEID8000713; HEID8000504; S4233; HEID8000563; S4231; S4339; HEID505644; SRR11470320; HEID8000506; HEID502973; HEID505738; HEID8000879; HEID8000549; HEID8000499; HEID8008794; HEID9200251; HEID8000568; S3621; HEID504534; HEID8000833; S0720; S0795; HEID8000558; S4341; HEID8000070; HEID8000736; HEID503376; S3788; HEID9200300; HEID8010409; HEID8008999; HEID8000831; S3766; HEID8008881; HEID8000829; HEID8000728; HEID400861; HEID410425; HEID8000538; HEID8000769; HEID8000699; HEID8010213; HEID8010125; HEID8000913; HEID8010127; HEID809730; HEID8000610; HEID8000693; HEID400803; HEID501601; ERR3454146; S2834; HEID8000605; HEID8000744; HEID8000785; S3261; S3764; HEID8000823; HEID504192; HEID8010113; HEID8000613; HEID8000518; HEID8000811; HEID8000624; HEID9200106; HEID504190; HEID504191; HEID8000704; HEID8010118; S2714; HEID8000732; HEID502724; S0196; HEID8009952; S0760; S0419; HEID8010353; HEID8000525; S0770; HEID8000522; S3286; S1177; S1462; HEID8010339; S0765,1,Arabideae,TRUE
TRIBE,Arabidopsideae,4313,3,3,1,S1211; S1381; S3954,1,Arabidopsideae,TRUE
TRIBE,Biscutelleae,3281,5,5,1,SRR8528382; S1077; SRR8528399; S1074; S0746,1,Biscutelleae_A,TRUE
TRIBE,Biscutelleae,5069,3,3,1,S0329; SRR8528338; S0560,2,Biscutelleae_B,TRUE
TRIBE,Boechereae,3989,127,127,1,NA_sn; S3651; S3646; S4403; S3935; S3485; S4390; S3639; S3628; S3635; S3866; FW1192; S3629; S3634; JB166; JB277; S3644; S3637; JB103; S0362; JB199; JB1279; S1227; JB181; S3647; S3933; S2875; S4028; S2868; S2869; SRR396761; S3652; FW284; S2876; S2864; S4065; S2867; S3633; FW1765; JB1624; S2874; FW616; JB257; JB236; S4389; S2879; S4208; S4059; S4025; S4008; S4400; S4399; HEID8009144; S3863; S3643; S4061; S2871; S3650; S3645; HEID8008974; S2872; SRR5116719; S3638; S2880; S2881; S0364; S4401; S2882; S3640; S3631; S2877; FW1150; S3632; CR1124; S4203; JB1275; JB1287; JB284; S3642; CR1298; FW1266; S2878; JB108; S4018; LA341; CR1002; JB101; S3641; JB273; S4063; S3926; JB418; S2873; S4391; JB1216; S4032; JB967; JB178; FW943; FW764; JB203; JB220; S1369; S2870; JB194; JB274; FW732; FW140; S0363; FW757; JB895; S0301; S0282; S0293; S_670; S0268; S0763; S0690; JB1176; S2865; FW1254; FW1139; FW1036; S3636; JB234; S2745; S0400,1,Boechereae,TRUE
TRIBE,Brassiceae,3578,248,248,1,SRR8528386; S0373; S1666; S1968; S2055; S1017; S1325; S2001; S4174; S3565; 23R11; S2554; S3274; 23R12; 23Q41; 23Q06; RB360; S0663; 23Q40; S3694; S3434; S0313; S3716; S2696; S1953; 23R06; S1001; 23Q42; S0851; 23Q46; S0980; S0978; S0981; S3444; S0993; S1003; 23R46; S2052; S3449; S0662; S2188; S2184; S0331; S1183; S3812; S1218; S1877; 23Q66; 23Q52; S3814; S3476; S2042; 23Q65; S1219; 23R29; S2050; S4303; S0317; 23Q51; S4305; 23Q11; 23Q43; 23Q44; S0897; S4027; S3487; S2044; S2197; S3343; S3613; S0544; S0467; S0377; S1507; S0587; S1026; S1996; RB36; S3460; S1967; S0323; 23Q10; S2209; 23R40; S3852; S1421; S0660; S3723; S2398; S1969; S0752; S3868; S3362; S3375; S3370; S3529; S0667; S3883; S2400; S3616; SRR14525677; S1224; S1516; S0868; S3367; S1207; 23Q94; ERR2560444; S3357; S0590; S1894; S4192; 23R15; S0583; S0747; S1311; S0992; SRR2050307; SRR24128551; S0548; S0869; S1228; S4353; S0914; S3280; S1220; S3337; S0919; SRR24208602; SRR24208603; SRR24208605; S1208; SRR23282481; ERR9941677; 23R25; S0912; S1185; S3378; S3354; 23Q37; 23R51; S1401; S1569; 23R65; S3720; S0817; S2556; S0617; S0650; S3928; S1314; S1312; 23R16; S1568; S0668; S0991; ERR4880718; NB10; 23R17; S2647; S4333; S2642; S2668; 23R20; S4337; NB1; S1866; NB4; NB9; S0731; NB3; S4335; S3951; S2707; S2575; 23R42; S1310; 23Q39; S0699; 23R26; S0698; S0702; ODN163; S0711; S0715; S1307; S1892; S1555; S0714; S0570; ODN61; S0924; NB2; S4134; S3258; S3292; S0305; S1021; S1994; S0726; S2251; S3532; S2051; S4357; S3911; S3854; SRR1801313; S0743; S0315; S2388; S2383; S2023; S0664; S2019; S0380; S1339; S1221; S0385; S3751; S2392; S1331; S1037; S1442; S0669; S1458; S1265; S0772; S1506; S1309; S0954; S0431; S0464; S1168; S0297; S0768; S1508; S1493; S0371; S0988; S0916; S1270; S1212; S1298; SRR6441723; S3993; SRR18885251; LaiQ176P4; LaiQ184P1,1,Brassiceae,TRUE
TRIBE,Calepineae,3867,3,3,1,S1238; S0312; S0757,1,Calepineae,TRUE
TRIBE,Camelineae,4123,4,4,1,S0641; S1204; S0670; S0718,1,Camelineae,TRUE
